OBJECTID,Shape_Length,STYLEID,GLOBALID,CLASSID,NUMBER,NAME,USING_TYPE,CAT_EXIST,CAT_PLAN,ROAD_ID,SURFACE_EXIST,SURFACE_PLAN,REG_RDTYPE,TIME_LTYPE,RDWIN_TYPE,RDWIN_CAT,COMPL_NAME,NUM_TC,FUNCTION,EVENT_TIME,SOURCE,NOTE,STATUS,REG_STATUS,LENGTH,DATEDOCOSN,NAMEDOCOSN,NUMBERDOCOSN,KADASTRZU
1,9451.60513522489,,,Автомобильные дороги регионального или межмуниципального значения,,"03 ОП РЗ 03К-016 г. Славянск-на-Кубани - г. Крымск",Общего пользования,IV,,"03 ОП РЗ 03К-016",Усовершенствованный,,Автомобильная дорога регионального значения,Круглогодичное функционирование (вне зависимости от сезонно-климатических условий),,,,,,,,,"Существующий, реконструируемый, строящийся",Региональное значение,,,,,
2,1310.41799376702,,,Автомобильные дороги регионального или межмуниципального значения,,"03 ОП МЗ 03Н-279 х. Новотроицкий - х. Евсеевский - ст-ца Троицкая",Общего пользования,IV,,"03Н-279",Усовершенствованный,,Автомобильная дорога регионального значения,Круглогодичное функционирование (вне зависимости от сезонно-климатических условий),,,,,,,,,"Существующий, реконструируемый, строящийся",Региональное значение,,,,,
3,6083.12453784585,,,Автомобильные дороги регионального или межмуниципального значения,,"03 ОП МЗ 03Н-279 х. Новотроицкий - х. Евсеевский - ст-ца Троицкая",Общего пользования,IV,,"03Н-279",Усовершенствованный,,Автомобильная дорога регионального значения,Круглогодичное функционирование (вне зависимости от сезонно-климатических условий),,,,,,,,,"Существующий, реконструируемый, строящийся",Региональное значение,,,,,
4,5538.34913769886,,,Автомобильные дороги регионального или межмуниципального значения,,"03 ОП РЗ 03К-031 ст-ца Троицкая - ст-ца Федоровская",Общего пользования,IV,,"03К-031",Усовершенствованный,,Автомобильная дорога регионального значения,Круглогодичное функционирование (вне зависимости от сезонно-климатических условий),,,,,,,,,"Существующий, реконструируемый, строящийся",Региональное значение,,,,,
5,1546.10794687253,,,Автомобильные дороги местного значения,,Подъезд к гидротехническому сооружению,,,,,,,,,,,,,,,,,"Существующий, реконструируемый, строящийся",Местное значение поселения,,,,,
6,822.110745757711,,,Автомобильные дороги местного значения,,Подъезд,,,,,,,,,,,,,,,,,"Существующий, реконструируемый, строящийся",Местное значение поселения,,,,,
7,2301.51461534285,,,Автомобильные дороги местного значения,,Подъезд к СДТ,,,,,,,,,,,,,,,,,"Существующий, реконструируемый, строящийся",Местное значение поселения,,,,,
8,14665.3248170888,,,Автомобильные дороги местного значения,,Производственный проезд,,,,,,,,,,,,,,,,,"Существующий, реконструируемый, строящийся",Местное значение поселения,,,,,
9,1582.11423386003,,,Автомобильные дороги местного значения,,Подъезд к СДТ,,,,,,,,,,,,,,,,,"Существующий, реконструируемый, строящийся",Местное значение поселения,,,,,
10,7600.7305655894,,,Автомобильные дороги местного значения,,Производственный проезд,,,,,,,,,,,,,,,,,"Существующий, реконструируемый, строящийся",Местное значение поселения,,,,,
